indicator,address_family,score,band,independence_classes,sources,categories,tags,first_seen,last_seen,source_reference
1.10.16.0/20,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL256894
1.19.0.0/16,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL434604
1.20.178.157,v4,90.17,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-17T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.27.251.252,v4,90.27,high,blocklist_de|bruteforceblocker,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels,aggregate|brute-force|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.32.128.0/18,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL286275
1.40.24.119,v4,88.70,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-20T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.209.110.147,v4,90.17,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.212.225.99,v4,93.54,high,blocklist_de|ipthreat,blocklist_de|blocklist_de_strongips|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.227.228.131,v4,80.21,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.233.103.18,v4,88.77,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-17T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.237.155.150,v4,88.21,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.241.64.237,v4,92.03,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.245.140.132,v4,91.55,high,blocklist_de|bruteforceblocker|ipthreat,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.247.245.61,v4,88.70,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.250.67.114,v4,88.70,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.250.67.190,v4,91.37,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
1.255.171.167,v4,96.98,high,binary_defense|blocklist_de|bruteforceblocker|ipthreat,binary_defense|blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.26.21.52,v4,81.55,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-15T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.26.62.149,v4,89.77,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-21T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.26.75.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL698389
2.27.5.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL698390
2.55.74.30,v4,92.33,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.55.85.196,v4,92.03,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-16T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.55.88.51,v4,84.18,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.55.122.202,v4,93.98,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.55.125.200,v4,94.48,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-25,2026-08-16T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.56.189.123,v4,66.85,medium,binary_defense|ipthreat,binary_defense|ipthreat,malware-infrastructure|reported-abuse|scanning,,2026-08-19T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.56.192.0/22,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL459831
2.57.17.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL699300
2.57.121.25,v4,93.50,high,binary_defense|blocklist_de,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.121.112,v4,97.85,high,binary_defense|blocklist_de|ipthreat,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-75,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.121.120,v4,69.88,medium,blocklist_de|cins,blocklist_de|cins_army|ipsum_levels,aggregate|brute-force|scanning|web-attack,ipsum-level-3,2026-08-15T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.122.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL636050
2.57.122.53,v4,96.95,high,binary_defense|blocklist_de|bruteforceblocker|ipthreat,binary_defense|blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipsum-level-7|ipsum-level-8|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.122.150,v4,95.36,high,binary_defense|blocklist_de|ipthreat,binary_defense|blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-0,2026-08-20T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.122.168,v4,95.36,high,binary_defense|blocklist_de|ipthreat,binary_defense|blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.122.209,v4,94.66,high,binary_defense|blocklist_de,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipsum-level-7,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.122.238,v4,95.36,high,binary_defense|blocklist_de|ipthreat,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipsum-level-7|ipsum-level-8|ipthreat-level-100,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.57.232.0/23,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL538946
2.57.234.0/23,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL538947
2.58.56.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL696366
2.59.152.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL697455
2.59.153.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,SBL697501
2.59.162.146,v4,89.46,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.180.11.118,v4,69.88,medium,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-20T00:00:00+00:00,2026-08-22T00:00:00+00:00,
2.249.150.53,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-17T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.82.209.93,v4,87.88,high,blocklist_de|cins,blocklist_de|cins_army|ipsum_levels,aggregate|brute-force|scanning|web-attack,ipsum-level-3|ipsum-level-4,2026-08-20T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.85.51.81,v4,87.38,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.86.114.186,v4,90.56,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.87.52.46,v4,89.14,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.88.155.51,v4,82.27,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.89.113.104,v4,86.47,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3|ipsum-level-4,2026-08-17T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.91.61.197,v4,79.61,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.93.76.26,v4,86.55,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
3.93.163.167,v4,76.54,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-08-22T00:00:00+00:00,
