indicator,address_family,score,band,independence_classes,sources,categories,tags,first_seen,last_seen,source_reference
1.0.164.165,v4,82.43,high,blocklist_de|cins,blocklist_de|cins_army|ipsum_levels,aggregate|brute-force|scanning|web-attack,ipsum-level-3,2026-08-25T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.10.16.0/20,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL256894
1.19.0.0/16,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL434604
1.20.178.157,v4,92.62,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-17T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.26.90.79,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.27.251.252,v4,88.70,high,blocklist_de|bruteforceblocker,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels,aggregate|brute-force|scanning|ssh-attack|web-attack,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.32.128.0/18,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL286275
1.34.254.107,v4,86.49,high,cins|turris,cins_army|turris_greylist,brute-force|scanning,turris-telnet,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.54.147.30,v4,80.99,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-28T00:00:00+00:00,2026-08-30T00:00:00+00:00,
1.54.190.14,v4,69.94,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-27T00:00:00+00:00,
1.85.42.195,v4,87.18,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.92.151.36,v4,89.46,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|turris-haas,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.95.50.1,v4,78.78,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|web-attack,ipsum-level-3,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.180.246.242,v4,85.40,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-26T00:00:00+00:00,2026-08-31T00:00:00+00:00,
1.192.80.248,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.209.110.147,v4,89.16,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.212.225.99,v4,95.76,high,blocklist_de|ipthreat|turris,blocklist_de|blocklist_de_strongips|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-75,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.213.214.233,v4,80.70,high,cins|turris,cins_army|turris_greylist,brute-force|scanning,turris-telnet,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.227.228.131,v4,94.77,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-50|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.233.103.18,v4,93.98,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-haas|turris-smtp,2026-08-17T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.234.28.236,v4,88.04,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|turris-haas,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.237.155.150,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.241.64.237,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.245.140.132,v4,83.50,high,blocklist_de|bruteforceblocker,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels,aggregate|brute-force|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.245.207.104,v4,88.19,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-25T00:00:00+00:00,2026-08-30T00:00:00+00:00,
1.247.245.61,v4,93.54,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.250.67.114,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.250.67.190,v4,93.72,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
1.255.171.167,v4,84.29,high,blocklist_de|bruteforceblocker|ipthreat,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.26.25.254,v4,83.35,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-28T00:00:00+00:00,2026-08-30T00:00:00+00:00,
2.26.53.142,v4,93.54,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-100,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.26.62.240,v4,86.84,high,binary_defense|cins,binary_defense|cins_army|ipsum_levels,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3,2026-08-26T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.26.75.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL698389
2.26.96.181,v4,88.83,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|web-attack,ipsum-level-3|turris-http|turris-telnet,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.26.201.104,v4,90.10,high,blocklist_de|cins|turris,blocklist_de|cins_army|turris_greylist,brute-force|scanning|web-attack,,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.27.5.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL698390
2.27.44.200,v4,94.02,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-http|turris-telnet,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.27.62.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL699649
2.28.49.32,v4,86.33,high,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,,2026-08-30T00:00:00+00:00,2026-08-31T00:00:00+00:00,
2.33.204.219,v4,90.64,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3,2026-08-23T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.54.85.220,v4,92.57,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-20T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.54.105.5,v4,88.70,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-50|turris-smtp,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.74.30,v4,92.03,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-75|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.85.4,v4,89.46,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-26T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.85.196,v4,92.09,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-16T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.88.51,v4,91.52,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-50|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.100.104,v4,92.09,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.122.202,v4,94.82,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-50|turris-haas|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.55.125.200,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.56.192.0/22,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL459831
2.57.17.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL699300
2.57.17.19,v4,85.63,high,binary_defense|turris,binary_defense|ipsum_levels|turris_greylist,aggregate|brute-force|malware-infrastructure|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|turris-ftp|turris-http|turris-smtp|turris-telnet,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.17.80,v4,86.65,high,binary_defense|turris,binary_defense|turris_greylist,brute-force|malware-infrastructure|scanning,,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.17.133,v4,85.49,high,binary_defense|turris,binary_defense|ipsum_levels|turris_greylist,aggregate|brute-force|malware-infrastructure|scanning,ipsum-level-3|ipsum-level-4,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.121.25,v4,77.35,high,binary_defense|blocklist_de,binary_defense|blocklist_de|blocklist_de_strongips,brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.121.112,v4,98.53,high,binary_defense|blocklist_de|bruteforceblocker|ipthreat|turris,binary_defense|blocklist_de|blocklist_de_strongips|bruteforceblocker|et_compromised|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipsum-level-7|ipsum-level-8|ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.122.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL636050
2.57.122.53,v4,96.08,high,binary_defense|blocklist_de|bruteforceblocker|ipthreat,binary_defense|blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-100,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.122.150,v4,97.85,high,binary_defense|blocklist_de|ipthreat|turris,binary_defense|blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-100,2026-08-20T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.122.168,v4,97.23,high,binary_defense|blocklist_de|ipthreat|turris,binary_defense|blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-50,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.122.209,v4,94.66,high,binary_defense|blocklist_de,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.122.238,v4,98.00,high,binary_defense|blocklist_de|ipthreat|turris,binary_defense|blocklist_de|blocklist_de_strongips|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|malware-infrastructure|reported-abuse|scanning|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipsum-level-6|ipthreat-level-100,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.57.232.0/23,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL538946
2.57.234.0/23,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL538947
2.58.56.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL696366
2.59.152.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL697455
2.59.153.0/24,v4,90.00,high,spamhaus,spamhaus_drop_v4,criminal-hosting|hijacked-netblock,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,SBL697501
2.59.162.146,v4,92.70,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipsum-level-4|ipsum-level-5|ipthreat-level-25|turris-smtp,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.59.169.250,v4,83.96,high,blocklist_de|cins,blocklist_de|cins_army|ipsum_levels,aggregate|brute-force|scanning|web-attack,ipsum-level-3,2026-08-29T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.179.194.21,v4,80.19,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,,2026-08-22T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.179.194.193,v4,93.12,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-17T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.1.34,v4,90.51,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-22T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.1.198,v4,91.58,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|web-attack,ipsum-level-3|ipthreat-level-0|turris-smtp,2026-08-22T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.6.8,v4,87.09,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-22T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.7.125,v4,81.80,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.11.118,v4,93.98,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-25|turris-haas|turris-smtp,2026-08-23T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.15.240,v4,93.12,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-50,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.35.173,v4,89.46,high,blocklist_de|turris,blocklist_de|ipsum_levels|turris_greylist,aggregate|brute-force|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|turris-haas|turris-smtp,2026-08-20T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.180.36.41,v4,88.70,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.184.61.196,v4,94.34,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|spam-source|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4|ipthreat-level-50|turris-haas|turris-smtp,2026-08-17T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.184.90.175,v4,69.88,medium,blocklist_de|turris,blocklist_de|turris_greylist,brute-force|scanning|web-attack,turris-http,2026-08-31T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.184.236.166,v4,91.58,high,blocklist_de|ipthreat|turris,blocklist_de|ipthreat|turris_greylist,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-20T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.184.237.250,v4,89.46,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-21T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.189.130.67,v4,91.33,high,blocklist_de|bruteforceblocker|ipthreat,blocklist_de|bruteforceblocker|et_compromised|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|ssh-attack|web-attack,ipsum-level-3|ipsum-level-4,2026-08-20T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.192.131.40,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-0,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.192.131.246,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipthreat,brute-force|reported-abuse|scanning|web-attack,ipthreat-level-25,2026-08-28T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.192.132.212,v4,83.96,high,blocklist_de|ipthreat,blocklist_de|ipsum_levels|ipthreat,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-0,2026-08-30T00:00:00+00:00,2026-09-01T00:00:00+00:00,
2.249.150.53,v4,93.12,high,blocklist_de|ipthreat|turris,blocklist_de|ipsum_levels|ipthreat|turris_greylist,aggregate|brute-force|reported-abuse|scanning|web-attack,ipsum-level-3|ipthreat-level-25,2026-08-17T00:00:00+00:00,2026-09-01T00:00:00+00:00,
3.80.146.66,v4,86.01,high,cins|turris,cins_army|turris_greylist,brute-force|scanning,,2026-08-12T00:00:00+00:00,2026-09-01T00:00:00+00:00,
3.80.225.254,v4,85.00,high,cins|turris,cins_army|turris_greylist,brute-force|scanning,,2026-08-24T00:00:00+00:00,2026-09-01T00:00:00+00:00,
